date,plant,vehicle_model,part_name,supplier,defect_type,inspection_method,production_volume,defect_count,rework_cost,warranty_cost,test_stage,failure_mode,severity_score
2024-04-12,Plant-B,Utility-A,Door Trim,Supplier-Gamma,Scratch,Automated,1234,9,11205,16587,Production,Surface Damage,6
2024-12-14,Plant-B,Utility-A,Front Bumper,Supplier-Gamma,Crack,Manual,1356,15,13250,16172,Production,Loose Mounting,1
2024-09-27,Plant-D,Offroad-A,Dashboard Panel,Supplier-Gamma,Paint Defect,Automated,680,16,6257,11818,Production,Dimensional Variation,4
2024-04-16,Plant-D,SUV-B,Front Bumper,Supplier-Delta,Crack,Automated,964,11,14150,12376,PV,Material Crack,6
2024-03-12,Plant-A,Utility-A,Fender Cladding,Supplier-Beta,Crack,Automated,527,11,3752,12876,DV,Loose Mounting,1
2024-07-07,Plant-C,Offroad-A,Door Trim,Supplier-Beta,Scratch,Automated,692,18,11417,5515,DV,Loose Mounting,6
2024-01-21,Plant-D,SUV-B,Wheel Arch Cladding,Supplier-Alpha,Paint Defect,Manual,1312,15,3463,3738,DV,Material Crack,6
2024-04-12,Plant-A,Offroad-A,Door Trim,Supplier-Beta,Scratch,Automated,1461,13,14244,10408,PV,Dimensional Variation,3
2024-05-01,Plant-D,SUV-B,Fender Cladding,Supplier-Alpha,Crack,Manual,755,13,3191,14230,Production,Dimensional Variation,1
2024-08-02,Plant-A,Utility-A,Dashboard Panel,Supplier-Beta,Warping,Automated,1444,17,9069,17080,DV,Surface Damage,3
2024-11-26,Plant-A,SUV-A,Front Bumper,Supplier-Alpha,Fitment Gap,Manual,1122,18,13737,11191,DV,Paint Peeling,1
2024-03-28,Plant-C,Offroad-A,Fender Cladding,Supplier-Delta,Crack,Automated,923,17,3877,12736,PV,Loose Mounting,8
2024-04-09,Plant-D,Utility-A,Dashboard Panel,Supplier-Beta,Paint Defect,Manual,1205,21,5841,19809,DV,Loose Mounting,7
2024-12-25,Plant-A,Offroad-A,Rear Bumper,Supplier-Gamma,Warping,Automated,1135,15,3369,6680,PV,Surface Damage,3
2024-05-31,Plant-B,Offroad-A,Front Bumper,Supplier-Alpha,Paint Defect,Automated,590,21,14250,3877,DV,Paint Peeling,8
2024-05-10,Plant-B,SUV-B,Fender Cladding,Supplier-Beta,Crack,Automated,1147,13,4730,16452,PV,Paint Peeling,4
2024-05-29,Plant-B,Offroad-A,Wheel Arch Cladding,Supplier-Beta,Crack,Manual,1294,14,1771,17990,Production,Paint Peeling,10
2024-11-04,Plant-C,SUV-B,Wheel Arch Cladding,Supplier-Alpha,Fitment Gap,Automated,1240,13,8544,16830,PV,Material Crack,2
2024-09-14,Plant-A,Utility-A,Dashboard Panel,Supplier-Beta,Paint Defect,Automated,644,14,7120,4543,Production,Surface Damage,6
2024-12-09,Plant-C,Offroad-A,Dashboard Panel,Supplier-Gamma,Warping,Manual,951,18,6674,11651,DV,Material Crack,9
2024-10-20,Plant-D,Utility-A,Wheel Arch Cladding,Supplier-Alpha,Fitment Gap,Manual,927,11,4025,16142,Production,Paint Peeling,7
2024-07-10,Plant-D,SUV-A,Rear Bumper,Supplier-Alpha,Paint Defect,Automated,741,23,11413,16349,DV,Material Crack,5
2024-10-03,Plant-A,Utility-A,Door Trim,Supplier-Alpha,Crack,Manual,985,21,13140,4379,DV,Loose Mounting,3
2024-06-09,Plant-B,Offroad-A,Wheel Arch Cladding,Supplier-Alpha,Fitment Gap,Manual,530,17,7901,4279,Production,Material Crack,5
2024-11-09,Plant-A,SUV-A,Dashboard Panel,Supplier-Alpha,Crack,Automated,1272,14,14101,19714,DV,Material Crack,7
2024-01-22,Plant-A,SUV-B,Dashboard Panel,Supplier-Gamma,Scratch,Manual,559,14,7036,2439,DV,Dimensional Variation,3
2024-09-09,Plant-A,SUV-A,Rear Bumper,Supplier-Alpha,Scratch,Manual,1100,13,2638,5916,Production,Surface Damage,2
2024-08-23,Plant-C,Offroad-A,Wheel Arch Cladding,Supplier-Gamma,Fitment Gap,Manual,975,17,12421,4672,DV,Paint Peeling,6
2024-12-10,Plant-D,Offroad-A,Rear Bumper,Supplier-Gamma,Fitment Gap,Automated,1414,18,10768,3757,Production,Surface Damage,8
2024-02-18,Plant-A,Utility-A,Wheel Arch Cladding,Supplier-Gamma,Paint Defect,Manual,600,11,13688,12806,Production,Loose Mounting,7
2024-02-28,Plant-A,SUV-B,Door Trim,Supplier-Alpha,Warping,Automated,1309,9,8300,16971,DV,Paint Peeling,4
2024-06-18,Plant-A,Offroad-A,Fender Cladding,Supplier-Gamma,Warping,Automated,1290,9,8172,10191,PV,Loose Mounting,4
2024-07-06,Plant-C,Offroad-A,Wheel Arch Cladding,Supplier-Alpha,Scratch,Manual,1132,11,3122,11700,Production,Material Crack,4
